Suggestion,Year,Month,PremiumsCollected,OverheadCharges,HeadCount,MarketingExpense,R&DExpense,AdminstrationExpenses,DesiredProfit
1,2024,Jan,8.71,0.92,0.47,0.67,0.78,0.77,5.1
2,2024,Jan,8.31,0.85,0.71,0.45,0.53,0.67,5.1
3,2024,Jan,8.54,1.12,0.48,0.54,0.51,0.79,5.1
1,2024,Feb ,8.39,0.78,0.49,0.31,0.76,0.85,5.2
2,2024,Feb ,8.74,0.78,0.51,0.8,0.83,0.62,5.2
3,2024,Feb ,8.92,1.02,0.61,0.72,0.55,0.82,5.2
1,2024,Mar ,8.37,0.71,0.47,0.59,0.53,0.77,5.3
2,2024,Mar ,9.1,0.9,0.61,0.8,0.72,0.77,5.3
3,2024,Mar ,9.34,1.02,0.86,0.6,0.9,0.66,5.3
1,2024,Apr,9.09,1.11,0.75,0.41,0.8,0.62,5.4
2,2024,Apr,8.87,0.85,0.46,0.47,0.83,0.86,5.4
3,2024,Apr,8.59,0.93,0.65,0.4,0.61,0.6,5.4
1,2024,May,8.63,0.81,0.43,0.74,0.52,0.63,5.5
2,2024,May,9.35,0.85,0.81,0.77,0.65,0.77,5.5
3,2024,May,9.11,1.29,0.45,0.45,0.71,0.71,5.5
1,2024,Jun,9.35,0.88,0.9,0.41,0.81,0.75,5.6
2,2024,Jun,9.78,1.3,0.67,0.77,0.89,0.55,5.6
3,2024,Jun,9.3,1.14,0.67,0.6,0.78,0.51,5.6
1,2024,Jul,9.32,1.22,0.46,0.77,0.63,0.54,5.7
2,2024,Jul,8.97,0.82,0.77,0.47,0.64,0.57,5.7
3,2024,Jul,9.51,1.22,0.72,0.51,0.86,0.5,5.7
1,2024,Aug,9.89,1.12,0.87,0.7,0.79,0.61,5.8
2,2024,Aug,9.6,0.92,0.9,0.68,0.71,0.59,5.8
3,2024,Aug,9.34,0.87,0.69,0.49,0.92,0.57,5.8
1,2024,Sep,9.6,0.75,0.81,0.41,0.95,0.78,5.9
2,2024,Sep,9.19,0.75,0.86,0.4,0.72,0.56,5.9
3,2024,Sep,9.28,1.02,0.65,0.47,0.59,0.65,5.9
1,2024,Oct,10.56,1.27,0.73,0.76,0.98,0.82,6
2,2024,Oct,9.18,1.1,0.43,0.45,0.69,0.51,6
3,2024,Oct,9.6,1.01,0.59,0.32,0.91,0.77,6
1,2024,Nov,9.9,1.16,0.51,0.72,0.61,0.8,6.1
2,2024,Nov,9.94,1.27,0.69,0.74,0.51,0.63,6.1
3,2024,Nov,9.95,1.04,0.74,0.77,0.79,0.51,6.1
1,2024,Dec,9.5,0.83,0.43,0.34,0.85,0.85,6.2
2,2024,Dec,10.22,1.3,0.52,0.59,0.83,0.78,6.2
3,2024,Dec,9.72,0.83,0.84,0.34,0.89,0.62,6.2
